Frase,id_item,anotadoras,anotadoras 2(valeria_janaina)
mulher fica nervosa,2993,Emoção,Emoção
ela fica enfezada,2995,Outro,Emoção
você é saudade,3014,Outro,Emoção
menina triste,3016,Emoção,Emoção
ela foi tão volúvel,3017,Outro,Emoção
esposa carinhosa,3033,Papel Social,Emoção
menina ficou tristonha,3043,Emoção,Emoção
ela fica nervosa,3046,Emoção,Emoção
ela foi iludida,3050,Outro,Emoção
mulher é amor,3054,Emoção,Emoção
você está enganada,3059,Outro,Emoção
ela sou tão feliz,3068,Emoção,Emoção
ela está muito contente,3075,Emoção,Emoção
ela tá doida,3134,Emoção,Emoção
ela tá louca,3135,Emoção,Emoção
"menina, deusa",3149,Aparência,Papel Social
você tá soltinha,3159,Outro,Emoção
ela estava desfalecida,3185,Outro,Outro
mulheres ficam gamada,3213,Outro,Emoção
você ficou velhinha,3214,Aparência,Aparência
você era feia,3215,Aparência,Aparência
linda estudante,3221,Aparência,Aparência
ela seria mais amarga,3236,Caráter,Emoção
você for desprezada,3240,Outro,Emoção
menina charmosa,3249,Aparência,Aparência
ela é turbinada,3254,Outro,Aparência
elas são tão belas,3269,Aparência,Aparência
moça boa,3274,Caráter,Aparência
moça sozinha,3290,Outro,Emoção
sereia bonita,3310,Aparência,Aparência
você era mais loura,3313,Aparência,Aparência
você é muito mais bela,3315,Aparência,Aparência
ela era bem bonitinha,3321,Aparência,Aparência
ela é mais sentimental,3357,Emoção,Emoção
menina aflita,3363,Emoção,Emoção
menina ruiva,3370,Aparência,Aparência
menina esguia,3376,Aparência,Aparência
"mulher, uma beleza",3378,Aparência,Aparência
"menina, morena",3387,Aparência,Aparência
"negra, negra",3398,Papel Social,Aparência
ela é explosão,3405,Caráter,Emoção
você era linda,3408,Aparência,Aparência
ela seja linda,3412,Aparência,Aparência
mulher global,3415,Outro,Outro
mulheres ficaram estéreis,3427,Outro,Aparência
ela fica parada,3428,Outro,Outro
ela fica muito louca,3430,Emoção,Emoção
menina gostosinha,3435,Aparência,Aparência
menina é muito triste,3450,Emoção,Emoção
fabiana tá usando silicone,3455,Aparência,Aparência
você é livre,3457,Outro,Outro
você é mentira,3470,Outro,Outro
você está tão fria,3477,Emoção,Aparência
mulher sentimental,3481,Caráter,Emoção
você fica tão bonita,3491,Aparência,Aparência
você é carente,3510,Emoção,Emoção
mulher faceira,3517,Caráter,Emoção
namorada amante,3527,Papel Social,Papel Social
elas ficam louca,3528,Emoção,Emoção
meninas ficam louca,3538,Emoção,Emoção
"mulher, seu corpo é uma escultura",3547,Aparência,Aparência
moça alegre,3564,Emoção,Emoção
ela fica feliz,3572,Emoção,Emoção
mulher explosiva,3582,Emoção,Emoção
mulher baixinha,3592,Aparência,Aparência
mulher usguenta,3593,Caráter,Outro
você é poesia,3595,Caráter,Outro
ela ser feliz,3602,Emoção,Emoção
ela é vulgar,3603,Caráter,Aparência
você tá estressada,3609,Emoção,Emoção
mulher avião,3617,Aparência,Outro
ela é caolha,3622,Aparência,Aparência
mulheres liberdade,3629,Outro,Outro
senhora deusa,3631,Aparência,Papel Social
"moça, formosura",3633,Aparência,Aparência
mulher sensacional,3635,Caráter,Aparência
garota boa,3636,Caráter,Aparência
musa libérrima,3653,Outro,Aparência
rainha negra,3664,Aparência,Aparência
rainha senhora,3668,Papel Social,Papel Social
menina franzina,3692,Aparência,Aparência
ela nervosa,3700,Emoção,Emoção
senhora divina,3702,Aparência,Papel Social
elas são rainhas,3704,Papel Social,Papel Social
chica boa,3713,Aparência,Aparência
mulher tá gorda,3749,Aparência,Aparência
menina ofegante,3759,Outro,Outro
você era tão bonita,3769,Aparência,Aparência
você foi tão clara,3777,Outro,Outro
você estava enganada,3792,Outro,Emoção
você é flor,3793,Caráter,Outro
ela tá muito louca,3795,Emoção,Emoção
garota parecia forte,3796,Aparência,Aparência
mariazinha morena,3837,Aparência,Aparência
"mulher, tua força",3841,Caráter,Aparência
"mulher, tua beleza",3842,Aparência,Aparência
ela era tão bonita,3844,Aparência,Aparência
mulheres negras,3860,Papel Social,Aparência
você está tão bonita,3861,Aparência,Aparência
ela é sinistra,3863,Caráter,Caráter
ela é sagaz,3870,Caráter,Caráter
mulher é apenas objeto,3871,Papel Social,Caráter
mulher dama,3890,Papel Social,Papel Social
ela é diva,3897,Papel Social,Aparência
ela incrivel,3898,Caráter,Aparência
índia formosa,3903,Aparência,Aparência
menina loca,3905,Emoção,Caráter
donzelas tímidas,3911,Caráter,Caráter
ela é grude,3914,Outro,Emoção
você é galinha,3915,Caráter,Caráter
você tá bonita,3917,Aparência,Aparência
mulheres incríveis,3918,Caráter,Aparência
você estava tão segura,3930,Caráter,Caráter
você é desumana,3931,Caráter,Caráter
ela foi muito maldosa,3941,Caráter,Caráter
ela é legal,3948,Caráter,Caráter
"mulher, dependente",3949,Papel Social,Caráter
moça fiel,3954,Caráter,Caráter
ela foi bandida,3960,Papel Social,Caráter
você é gordinha,3981,Aparência,Caráter
mina ficou maluca,3984,Emoção,Aparência
moça bruta,3986,Caráter,Emoção
moças namoradeira,3998,Papel Social,Caráter
"esposa, minha glória",3999,Papel Social,Caráter
mulher tá cansada,4004,Outro,Caráter
ela é verdadeira,4021,Caráter,Aparência
menina namoradeira,4031,Papel Social,Caráter
meninas carinhosas,4033,Caráter,Caráter
você estava apaixonada,4038,Emoção,Caráter
"menina, ingênua",4039,Caráter,Emoção
você estão fechadas,4050,Outro,Caráter
ela fica mais bonita,4051,Aparência,Outro
ela é muito atraente,4053,Aparência,Aparência
ela é vidrada,4064,Outro,Aparência
novinha delícia,4081,Aparência,Outro
você é tentação,4085,Aparência,Aparência
ela é muito triste,4088,Emoção,Aparência
ela é forte,4090,Caráter,Emoção
você tá pirada,4091,Emoção,Caráter
você é palhaça,4093,Caráter,Emoção
mulher sensual,4103,Aparência,Caráter
mina é linda,4116,Aparência,Aparência
você tá maluca,4129,Emoção,Aparência
menina faceira,4134,Caráter,Caráter
ela está disposta,4142,Outro,Emoção
mina é esperta,4145,Caráter,Caráter
ela estava ausente,4154,Outro,Caráter
você está apaixonada,4167,Emoção,Caráter
mariana romântica,4168,Outro,Emoção
mulher traiçoeira,4180,Caráter,Emoção
menina massa,4185,Caráter,Caráter
mina porreta,4186,Caráter,Caráter
mulher clara,4191,Outro,Caráter
ana carinhosa,4196,Caráter,Aparência
mulher é fácil,4206,Caráter,Emoção
ela é brincadeira,4214,Outro,Caráter
garota manhosa,4218,Emoção,Caráter
Mulher sabe machucar,4223,Outro,Caráter
você tá linda,4232,Aparência,Caráter
mulher é feia,4240,Aparência,Aparência
ela é tão feia,4242,Aparência,Aparência
você está crescida,4250,Aparência,Aparência
ela é muito importante,4252,Caráter,Aparência
você é alma,4254,Outro,Caráter
ela for cheirosa,4264,Aparência,Outro
ela for bonita,4265,Aparência,Aparência
moça granfina,4273,Aparência,Aparência
você ficou estranha,4277,Caráter,Aparência
mulher fiel,4292,Caráter,Emoção
você é alegria,4296,Emoção,Caráter
ela tá maluca,4300,Caráter,Emoção
você fica maluca,4309,Caráter,Emoção
voce é invejosa,4312,Caráter,Emoção
Mina cheia de marra,4317,Caráter,Caráter
novinhas solteiras,4318,Papel Social,Caráter
você tá enganada,4319,Outro,Papel Social
ela é surreal,4321,Aparência,Caráter
você tá facinha,4327,Caráter,Caráter
mina careca,4328,Aparência,Caráter
mina caolha,4329,Aparência,Aparência
mulher novinha,4338,Aparência,Aparência
ela é cachorra,4345,Caráter,Aparência
ela é comportadinha,4346,Papel Social,Caráter
ela é cínica,4351,Caráter,Caráter
ela é carente,4353,Emoção,Caráter
ela parece cachorra,4355,Caráter,Caráter
ela é muito bonita,4356,Aparência,Caráter
ela é muito feia,4358,Aparência,Aparência
novinha ta chapadona,4359,Outro,Aparência
ela é muito engraçada,4360,Caráter,Caráter
mulher imunda,4364,Aparência,Caráter
você fica manhosa,4365,Outro,Aparência
mina maneira,4370,Caráter,Caráter
ela é tão branca,4374,Aparência,Caráter
mina é muito feia,4375,Aparência,Aparência
ela tem mó bundão,4376,Aparência,Aparência
namorada maluca,4378,Caráter,Aparência
ela é cadela,4380,Caráter,Caráter
minas são sinistras,4382,Caráter,Caráter
ela tá bolada,4389,Emoção,Caráter
mulher coroa,4393,Papel Social,Caráter
garota sensação,4395,Aparência,Aparência
ela é negra,4399,Aparência,Aparência
ela tá nervosa,4405,Emoção,Aparência
ela é maluca,4408,Caráter,Emoção
você é tão rebelde,4417,Caráter,Caráter
namorada libanesa,4420,Papel Social,Caráter
minas explosivas,4421,Papel Social,Papel Social
ela é muito elegante,4438,Aparência,Emoção
"Meninas, mini-xotas, mini-putas",4441,Outro,Aparência
ela foi fiel,4449,Caráter,Aparência
você é muito complicada,4450,Outro,Caráter
você é complicada,4451,Caráter,Caráter
você é mais perigosa,4456,Caráter,Caráter
garota bonita,4464,Aparência,Caráter
ela está feia,4467,Aparência,Aparência
"rainhas, meninas",4473,Papel Social,Aparência
mulher sardenta,4476,Aparência,Papel Social
ela é maldade,4495,Caráter,Aparência
mulher antiga,4512,Papel Social,Caráter
ela é sensual,4523,Aparência,Aparência
claudinha lacradora,4535,Papel Social,Aparência
ela é sofisticada,4539,Caráter,Caráter
ela é delicada,4540,Caráter,Aparência
você fica mais bonita,4542,Aparência,Aparência
você é imprevisivel,4549,Caráter,Aparência
ela é teimosa,4553,Caráter,Caráter
menina segura,4554,Caráter,Caráter
ela tá maravilhosa,4563,Aparência,Caráter
ela tá pura,4564,Outro,Aparência
ela tá top,4565,Aparência,Outro
ela é iluminada,4568,Outro,Aparência
ela é perigo,4582,Caráter,Aparência
você fica bem soltinha,4592,Caráter,Caráter
ela tá deliciosa,4596,Aparência,Emoção
novinha sapequinha,4599,Outro,Aparência
menina descalça,4601,Outro,Aparência
mulher é só pressão,4606,Outro,Aparência
mulher é sentimento,4609,Emoção,Caráter
mulher gata,4610,Aparência,Emoção
ela tá doidinha,4613,Emoção,Aparência
mulher bonita,4616,Aparência,Emoção
meninas soltinhas,4625,Outro,Aparência
ela é descarada,4629,Caráter,Caráter
novinha pira,4630,Outro,Caráter
novinhas ficam loucas,4634,Caráter,Emoção
ela ficou peladinha,4636,Aparência,Emoção
você tá tão bonita,4637,Aparência,Aparência
ela é sensacional,4662,Aparência,Aparência
ela fica triste,4665,Emoção,Aparência
menina atraente,4666,Aparência,Emoção
ela fica esperta,4670,Caráter,Aparência
ela é amor,4672,Caráter,Caráter
ela é clichê,4673,Caráter,Emoção
menina gostosa,4681,Aparência,Caráter
namorada era legal,4683,Caráter,Aparência
ela se tornou garota,4693,Outro,Caráter
ela foi influenciada,4700,Outro,Papel Social
ela é bruxa,4711,Papel Social,Caráter
ela vai ficar maluca,4714,Emoção,Papel Social
mulher é louca,4715,Caráter,Emoção
luciana é alegria,4719,Caráter,Caráter
você é brisa,4724,Outro,Emoção
senhora tentação,4728,Outro,Outro
você fica feia,4734,Aparência,Caráter
ela é soberana,4741,Caráter,Aparência
mina é maneirona,4751,Caráter,Papel Social
mina é feia,4754,Aparência,Caráter
ela é difícil,4760,Caráter,Aparência
maravilha feminina,4767,Aparência,Caráter
"ela, toda venenosa",4777,Caráter,Aparência
ela tá cismada,4790,Outro,Caráter
ela ta enganada,4796,Outro,Caráter
mulher mercenária,4808,Caráter,Caráter
ela tá soltinha,4821,Outro,Caráter
ela negra,4844,Papel Social,Aparência
ela era magrinha,4865,Aparência,Aparência
ela novinha,4866,Papel Social,Aparência
moça fanática,4885,Caráter,Aparência
você estava louca,4891,Emoção,Caráter
mina contente,4893,Emoção,Emoção
moça é donzela,4896,Papel Social,Emoção
mulher perversa,4902,Caráter,Papel Social
ela é bagaceira,4918,Caráter,Caráter
ela é muito bacana,4922,Caráter,Caráter
rainha defensora,4934,Papel Social,Caráter
ela é tão fascinante,4949,Aparência,Caráter
ela é amada,4950,Outro,Caráter
ela é preta,4959,Papel Social,Emoção
ela é sexy,4974,Aparência,Aparência
garota espetacular,4990,Aparência,Aparência
ela ficou feliz,5017,Emoção,Aparência
ela é longa,5030,Aparência,Emoção
novinha taradinha,5038,Caráter,Aparência
mina braba,5053,Caráter,Caráter
ela ficou nervosa,5060,Emoção,Caráter
você é má,5078,Caráter,Emoção
novinha ta safada,5103,Caráter,Caráter
Ela é muito atrevida,5142,Caráter,Caráter
menina indefesa,5146,Outro,Caráter
mulher sofredora,5151,Emoção,Caráter
ela tá cansada,5163,Emoção,Emoção
elas são braba,5175,Caráter,Emoção
mina coração,5190,Caráter,Caráter
moça dengosa,5235,Emoção,Emoção
dama infeliz,5240,Emoção,Caráter
esposas sombrias,5243,Outro,Emoção
ela vai sorrir contente,5258,Emoção,Caráter
ela é inútil,5280,Caráter,Emoção
elas foram tão felizes,5293,Emoção,Caráter
menina é amor,5320,Emoção,Emoção
ela é tão interessante,5327,Caráter,Emoção
ela estava ali sozinha,5342,Outro,Caráter
elas são felizes,5349,Emoção,Emoção
clarice é interrompida,5402,Outro,Emoção
ela ri torturada,5414,Outro,Outro
você estava tão meiga,5418,Caráter,Emoção
garota é lesada,5422,Outro,Emoção
ela estava debruçada,5443,Outro,Caráter
ela estava debruçada,5443,Outro,Aparência
ela é ignorada,5445,Outro,Emoção
garota excitante,5471,Aparência,Emoção
ela sorridente,5487,Emoção,Aparência
garotas carinhosas,5494,Emoção,Emoção
ela é covarde,5528,Caráter,Caráter
meiga menina,5565,Caráter,Caráter
ela tá carente,5568,Emoção,Emoção
ela estava tão carente,5576,Emoção,Emoção
ela está cansada,5578,Outro,Emoção
ela é pagodeira,5605,Papel Social,Papel Social
mulher delegada,5618,Papel Social,Papel Social
mulher motorista,5619,Papel Social,Papel Social
ela fica grilada,5628,Outro,Emoção
ela é veterana,5665,Papel Social,Papel Social
garota é osso,5679,Outro,Caráter
ela ta feliz,5688,Emoção,Emoção
francisca sozinha,5697,Outro,Emoção
menina frágil,5702,Papel Social,Caráter
garota adolescente,5711,Papel Social,Papel Social
namorada princesa,5720,Papel Social,Papel Social
ela é charme,5731,Aparência,Caráter
mulher cananéia,5738,Outro,Papel Social
voce ta desconfiada,5756,Outro,Caráter
ela foi escolhida,5761,Outro,Caráter
mulher preguiçosa,5773,Caráter,Caráter
moça mimosa,5775,Outro,Caráter
ela é delegada,5779,Papel Social,Papel Social
você tá magoada,5787,Emoção,Emoção
ela ficou tão feliz,5805,Emoção,Emoção
menina lavadeira,5843,Papel Social,Papel Social
ela é mãe solteira,5854,Papel Social,Papel Social
ela ficou zangada,5881,Emoção,Emoção
menina tanajura,5885,Aparência,Aparência
você tá nervosa,5899,Emoção,Emoção
você está chateada,5911,Emoção,Emoção
você está arrasada,5912,Emoção,Emoção
namorada tá desconfiada,5920,Outro,Emoção
você é namorada,5921,Papel Social,Papel Social
mina tá desconfiada,5923,Outro,Emoção
você tá dispersa,5924,Caráter,Emoção
você foi precipitada,5931,Outro,Caráter
ela fica empolgada,5935,Emoção,Emoção
ela orgulhosa,5944,Caráter,Caráter
você tá tão gelada,5954,Aparência,Aparência
mulher vulcão,6003,Outro,Outro
ela é estrangeira,6004,Papel Social,Papel Social
ela é provocante,6027,Aparência,Aparência
você está desconfiada,6030,Outro,Emoção
mulheres são atriz,6040,Papel Social,Papel Social
mulher aflita,6083,Emoção,Emoção
ela era solteira,6094,Papel Social,Papel Social
ela é notada,6101,Outro,Emoção
ela ta suave,6102,Outro,Emoção
ela tá insaciável,6116,Outro,Emoção
ela é muito avião,6128,Aparência,Aparência
minas vai ser patroa,6154,Papel Social,Papel Social
menina extrovertida,6178,Caráter,Caráter
mulher profissional,6209,Papel Social,Papel Social
ela tá estressada,6240,Emoção,Emoção
mulher é braba,6245,Caráter,Caráter
ela ficou apaixonada,6247,Emoção,Emoção
você é amiga,6251,Papel Social,Papel Social
menina selvagem,6279,Caráter,Caráter
bailarina contente,6281,Emoção,Emoção
ela é celebridade,6309,Papel Social,Papel Social
mina é tão impressionante,6311,Outro,Caráter
elas carente,6347,Emoção,Emoção
menina interessante,6355,Caráter,Caráter
ela é modelo,6358,Papel Social,Papel Social
ela foi encantada,6392,Outro,Emoção
moça é distraída,6399,Caráter,Caráter
ela é bem mais rica,6403,Papel Social,Papel Social
Toda mulher se faz de coitada,6412,Caráter,Caráter
mulher má,6427,Caráter,Caráter
mulheres febris,6431,Outro,Outro
garota suicida,6460,Outro,Caráter
mulher surpreendente,6481,Caráter,Caráter
você é bem teimosa,6501,Caráter,Caráter
você é professora,6527,Papel Social,Papel Social
moça boiadeira,6547,Papel Social,Papel Social
ela é esposa,6575,Papel Social,Papel Social
você é enfermeira,6577,Papel Social,Papel Social
você foi casada,6599,Papel Social,Papel Social
senhora mãezinha,6777,Papel Social,Papel Social
mina tá doidona,6783,Outro,Papel Social
ela é famosa,6818,Papel Social,Papel Social
cigana miss,6920,Papel Social,Papel Social
janaína argentina,6966,Papel Social,Papel Social
minas são profissionais,7269,Papel Social,Papel Social
elas são amiga,7364,Papel Social,Papel Social
mulher é carioca,7366,Papel Social,Papel Social
mina é vagabunda,7414,Caráter,Papel Social
mulher estiver solteira,7428,Papel Social,Papel Social
meninas dançarinas,7456,Papel Social,Papel Social
"mulher, cantora",7484,Papel Social,Papel Social
menina era mineira,7583,Papel Social,Papel Social
moças solteiras,7602,Papel Social,Papel Social
ela é doméstica,7694,Papel Social,Papel Social
você é bailarina,7730,Papel Social,Papel Social
maria é mãe,7762,Papel Social,Papel Social
moça bailarina,7867,Papel Social,Papel Social
mulher cangaceira,7938,Papel Social,Papel Social
ela é vovó,7962,Papel Social,Papel Social
você é pobrezinha,8039,Papel Social,Papel Social
mulher bandeirante,8178,Papel Social,Papel Social
ela é bahiana,8186,Papel Social,Papel Social
ela era dona,8221,Papel Social,Papel Social
mulher gestante,8224,Papel Social,Papel Social
senhora dona-de-casa,8283,Papel Social,Papel Social
ela é comandante-chefe,8286,Papel Social,Papel Social
ela tá noiva,8392,Papel Social,Papel Social
você é casada,8459,Papel Social,Papel Social
ela é viúva,8511,Papel Social,Papel Social
você é cinderela,8535,Outro,Papel Social
ela é índia,8618,Papel Social,Papel Social
meninas solteiras,8657,Papel Social,Papel Social
mãe rainha,8870,Papel Social,Papel Social
moças mineiras,8960,Papel Social,Papel Social
ela é muito pobrezinha,9023,Papel Social,Papel Social
senhora viúva,9059,Papel Social,Papel Social
mulher pobrezinha,9088,Papel Social,Papel Social
ela é brasileirinha,9116,Papel Social,Papel Social
moça pobre,9117,Papel Social,Papel Social
crioula sapateia,9133,Outro,Papel Social
meninas são colombinas,9144,Papel Social,Papel Social
bailarina serena,9172,Papel Social,Papel Social
senhoras casadas,9223,Papel Social,Papel Social
mulher gorda,9243,Aparência,Aparência
ela é costureira,9252,Papel Social,Papel Social
ela é americana,9286,Papel Social,Papel Social
ela é babá,9300,Papel Social,Papel Social
mulher é nacional,9373,Papel Social,Papel Social
mulher biscateira,9398,Papel Social,Papel Social
você é tão patricinha,9466,Papel Social,Papel Social
ela é senhora,9537,Papel Social,Papel Social
ela é dançarina,9629,Papel Social,Papel Social
ela é cabeleireira,9653,Papel Social,Papel Social
você tá tão gostosa,9774,Aparência,Aparência
mina jamaicana,9775,Papel Social,Papel Social
mulher lavadeira,9854,Papel Social,Papel Social
"diana, casada",9855,Papel Social,Papel Social
você é empregadinha,9946,Papel Social,Papel Social
ela é tesouro,9976,Caráter,Papel Social
maria sambadeira,9980,Papel Social,Papel Social
ela é porta,9986,Outro,Papel Social
menina é brasileira,9988,Papel Social,Papel Social
você é canditada,10007,Outro,Papel Social
você fica empinadinha,10017,Outro,Aparência
mina tá chapada,10074,Outro,Caráter
ela é roqueira,10114,Papel Social,Papel Social
moreninha bonitinha,10146,Aparência,Aparência
mulher eletricista,10234,Papel Social,Papel Social
ela é aeromoça,10391,Papel Social,Papel Social
você era princesa,10482,Papel Social,Papel Social
mulher famosa,10613,Papel Social,Papel Social
ela é diarista,10656,Papel Social,Papel Social
ela é mandona,10681,Caráter,Papel Social
dama socialite,10762,Papel Social,Papel Social
amiga noiva,10916,Papel Social,Papel Social
mulheres poetas,10918,Papel Social,Papel Social
mãe pobre,10920,Papel Social,Papel Social
senhora é mãe,10972,Papel Social,Papel Social
ela tá graduada,11193,Papel Social,Papel Social
mina é só loucura,13088,Caráter,Emoção
ela é muito fechada,14984,Caráter,Emoção
moça diferente,15037,Outro,Emoção
ela é sensacional,15053,Caráter,Emoção
menina singular,15089,Outro,Emoção
ela é destemida,15115,Caráter,Emoção
você foi distração,15212,Outro,Emoção